epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5088,0.93502,4.09188,1.25742,0.49625,0.0851,0.10401,0.08729,0.8468,3.25004,1.15316,0.0702362,0.00330709,0.00330709
2,35.3349,1.00488,3.57922,1.25209,0.53655,0.1457,0.16961,0.12924,1.32579,3.18644,1.60684,0.0402362,0.00664036,0.00664036
3,48.776,1.12683,3.05034,1.31572,0.41536,0.28876,0.253,0.18422,1.24761,3.52062,1.47474,0.0102358,0.00997336,0.00997336
4,62.4424,1.22731,2.80768,1.3707,0.41472,0.44463,0.42859,0.30498,1.1612,2.79009,1.43281,0.00999912,0.00999912,0.00999912
5,75.9734,1.25381,2.67966,1.38022,0.46883,0.2995,0.296,0.19966,1.32948,2.91866,1.56382,0.00999844,0.00999844,0.00999844
6,88.9379,1.15869,2.5078,1.35286,0.58723,0.43633,0.47748,0.33319,1.23929,2.49634,1.46348,0.00999756,0.00999756,0.00999756
7,101.967,1.13162,2.36808,1.31822,0.50752,0.54789,0.47679,0.34757,1.05303,2.3299,1.32887,0.00999648,0.00999648,0.00999648
8,115.337,1.08411,2.17017,1.28244,0.32855,0.36825,0.31629,0.23709,1.41134,10.6501,1.60881,0.00999521,0.00999521,0.00999521
9,128.751,1.04605,2.02641,1.25306,0.6652,0.54772,0.62726,0.47488,0.9651,1.723,1.2372,0.00999375,0.00999375,0.00999375
10,141.941,1.07671,2.01848,1.26393,0.52297,0.26393,0.29366,0.22014,1.51319,3.15234,1.82538,0.00999209,0.00999209,0.00999209
11,154.436,1.03758,1.88161,1.25447,0.51923,0.59217,0.61426,0.46851,0.94513,1.76856,1.21446,0.00999023,0.00999023,0.00999023
12,167.234,1.02477,1.74488,1.23148,0.6632,0.55037,0.6204,0.48258,0.95742,1.8665,1.25424,0.00998818,0.00998818,0.00998818
13,180.683,0.99662,1.7585,1.21717,0.63194,0.44582,0.51805,0.38626,1.07415,2.20853,1.339,0.00998594,0.00998594,0.00998594
14,193.831,0.97462,1.68262,1.22057,0.7172,0.63521,0.66758,0.53573,0.88392,1.9578,1.18293,0.0099835,0.0099835,0.0099835
