epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5733,0.84052,1.75282,3.98906,1.08683,0.448,0.09298,0.17974,0.14864,0.448,0.09298,0.18055,0.14008,0.81848,1.65038,3.07377,1.12779,0.0701714,0.00331429,0.00331429
2,68.6387,0.83151,1.41489,2.59304,1.04565,0.69214,0.29565,0.38724,0.30255,0.56759,0.23672,0.34185,0.25828,0.81945,1.63693,2.34347,1.11761,0.0401714,0.00664755,0.00664755
3,91.8224,0.86953,1.41626,1.9725,1.04363,0.44147,0.31601,0.29104,0.18957,0.40536,0.25458,0.26567,0.15905,1.20908,2.41048,2.45064,1.46464,0.010171,0.00998056,0.00998056
4,115.842,0.91322,1.45151,1.83194,1.06872,0.54289,0.39828,0.36709,0.27631,0.52045,0.34413,0.36178,0.2484,0.82838,1.66769,2.18175,1.12331,0.00999912,0.00999912,0.00999912
5,140.136,0.88927,1.4045,1.67582,1.04881,0.53142,0.4927,0.47604,0.33251,0.55339,0.44123,0.43686,0.28058,0.91531,1.65029,1.937,1.20639,0.00999844,0.00999844,0.00999844
6,164.53,0.86509,1.32948,1.51614,1.03808,0.6627,0.50957,0.51214,0.3947,0.63078,0.4681,0.46721,0.33476,0.75561,1.29454,1.83972,1.06089,0.00999756,0.00999756,0.00999756
7,189.72,0.83858,1.31899,1.42371,1.0251,0.55484,0.4461,0.42706,0.32355,0.52896,0.43263,0.40738,0.28063,0.77906,1.36224,2.12682,1.08641,0.00999648,0.00999648,0.00999648
8,215.061,0.81091,1.26182,1.31395,1.00989,0.73338,0.54294,0.58818,0.43275,0.77769,0.43422,0.52286,0.36033,0.76382,1.40064,1.72587,1.04783,0.00999521,0.00999521,0.00999521
9,240.613,0.78426,1.21741,1.22706,0.99778,0.81941,0.50206,0.61276,0.47574,0.72699,0.4404,0.52681,0.36294,0.68892,1.40054,1.71507,1.01308,0.00999375,0.00999375,0.00999375
10,263.943,0.7564,1.15882,1.1349,0.9887,0.59945,0.57702,0.50073,0.38508,0.58978,0.49561,0.48325,0.34305,0.78039,1.48703,1.77009,1.12673,0.00999209,0.00999209,0.00999209
