epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.272,0.82782,1.70853,3.90575,1.07971,0.4892,0.25085,0.21319,0.17401,0.47985,0.24034,0.19723,0.14895,0.74602,1.36231,2.46812,1.06783,0.0701508,0.00331658,0.00331658
2,91.3743,0.82692,1.41282,2.5279,1.04453,0.43375,0.32281,0.3417,0.25822,0.44395,0.32063,0.33106,0.22536,1.00147,1.86091,2.2393,1.25377,0.0401507,0.00664985,0.00664985
3,123.378,0.87905,1.4132,1.9704,1.04593,0.63787,0.53341,0.61461,0.4656,0.59966,0.50236,0.57173,0.36953,0.88945,2.05002,1.44173,1.15555,0.0101504,0.00998286,0.00998286
4,153.902,0.92501,1.47295,1.84657,1.07495,0.71578,0.69767,0.76688,0.58704,0.69858,0.67879,0.7384,0.5202,0.80352,1.38795,1.26595,1.05809,0.00999912,0.00999912,0.00999912
5,182.662,0.885,1.41899,1.65501,1.056,0.80159,0.67675,0.82021,0.63597,0.7636,0.64917,0.77329,0.54206,0.75136,1.27265,1.04106,1.02349,0.00999844,0.00999844,0.00999844
6,212.42,0.86411,1.36223,1.53796,1.04171,0.81747,0.61554,0.78807,0.60441,0.79744,0.59891,0.74957,0.53025,0.78605,1.49007,1.24754,1.05357,0.00999756,0.00999756,0.00999756
7,242.834,0.81555,1.29622,1.38082,1.00958,0.73177,0.71878,0.80671,0.64927,0.71389,0.69295,0.76848,0.54819,0.71809,1.26206,1.05921,1.01533,0.00999648,0.00999648,0.00999648
8,273.563,0.7989,1.25213,1.28721,1.00881,0.81607,0.83577,0.89688,0.73086,0.81229,0.83125,0.88517,0.63199,0.66509,1.10667,0.83354,0.97176,0.00999521,0.00999521,0.00999521
9,304.378,0.77602,1.22404,1.23212,0.99736,0.76587,0.73017,0.80121,0.63501,0.81804,0.6767,0.77363,0.54131,0.74409,1.29132,0.94734,1.02731,0.00999375,0.00999375,0.00999375
10,335.16,0.76598,1.21036,1.15186,0.99137,0.8581,0.88174,0.94218,0.79166,0.84499,0.85839,0.9138,0.68803,0.58033,0.9566,0.65285,0.91695,0.00999209,0.00999209,0.00999209
11,367.395,0.73915,1.16998,1.10095,0.98322,0.88912,0.85567,0.94518,0.78906,0.88272,0.84179,0.92445,0.68687,0.61632,1.06578,0.65922,0.9373,0.00999023,0.00999023,0.00999023
12,397.725,0.73066,1.14611,1.03417,0.97289,0.84485,0.77932,0.8906,0.73652,0.8145,0.75109,0.82365,0.57679,0.63105,1.20527,0.7863,0.96686,0.00998818,0.00998818,0.00998818
13,427.594,0.71034,1.1108,0.9859,0.96742,0.84317,0.90774,0.94495,0.80698,0.89786,0.85467,0.92627,0.70738,0.5763,0.91457,0.63243,0.91922,0.00998594,0.00998594,0.00998594
14,456.472,0.70618,1.11171,0.93676,0.9656,0.78003,0.84836,0.88609,0.75666,0.76552,0.81548,0.85482,0.6433,0.60442,1.14077,0.74996,0.94825,0.0099835,0.0099835,0.0099835
15,487.023,0.69645,1.08699,0.9169,0.95978,0.90159,0.92725,0.96199,0.82511,0.89816,0.92444,0.95522,0.74196,0.5472,0.86041,0.54637,0.91008,0.00998086,0.00998086,0.00998086
16,513.511,0.67672,1.07504,0.86196,0.95614,0.9078,0.93782,0.96078,0.84099,0.90446,0.92864,0.94885,0.75236,0.50705,0.82005,0.5439,0.89099,0.00997803,0.00997803,0.00997803
17,541.566,0.68106,1.05179,0.85,0.95632,0.93812,0.96055,0.97945,0.86335,0.93813,0.9537,0.97219,0.76748,0.50938,0.82288,0.47231,0.88324,0.00997501,0.00997501,0.00997501
18,573.574,0.65961,1.03097,0.80337,0.94325,0.9039,0.91203,0.9585,0.84545,0.90763,0.91563,0.96105,0.73779,0.51566,0.83877,0.5221,0.89123,0.00997179,0.00997179,0.00997179
19,606.022,0.66383,1.0391,0.80313,0.94743,0.90322,0.89559,0.95711,0.8237,0.89092,0.88508,0.93984,0.72305,0.54853,0.88163,0.52934,0.90861,0.00996838,0.00996838,0.00996838
20,640.719,0.64865,1.03014,0.77602,0.93972,0.93531,0.90057,0.97199,0.85615,0.92193,0.89679,0.95467,0.74222,0.48395,0.83725,0.48451,0.88199,0.00996477,0.00996477,0.00996477
21,673.971,0.654,1.01809,0.75568,0.94439,0.88674,0.86565,0.91886,0.79898,0.88097,0.85853,0.90373,0.695,0.55258,1.00599,0.60586,0.9151,0.00996097,0.00996097,0.00996097
22,707.784,0.63877,1.00464,0.73993,0.9405,0.94186,0.95739,0.98133,0.85917,0.92996,0.9585,0.97269,0.7775,0.51386,0.78016,0.44401,0.8903,0.00995697,0.00995697,0.00995697
23,738.701,0.64283,1.00315,0.73906,0.94077,0.95874,0.93794,0.97606,0.87602,0.95929,0.9382,0.97279,0.78056,0.47643,0.75353,0.40663,0.8799,0.00995278,0.00995278,0.00995278
24,769.654,0.62901,1.0036,0.72707,0.93183,0.95399,0.93957,0.98038,0.88182,0.94118,0.95119,0.98057,0.78333,0.47386,0.74359,0.40936,0.866,0.0099484,0.0099484,0.0099484
25,802.501,0.62388,0.97256,0.70495,0.93032,0.92092,0.96308,0.97495,0.87156,0.92124,0.96325,0.97158,0.78601,0.47191,0.74056,0.43369,0.87147,0.00994383,0.00994383,0.00994383
26,833.462,0.61257,0.97307,0.6883,0.92889,0.94157,0.93109,0.97493,0.8642,0.92241,0.91076,0.9512,0.75081,0.49902,0.85436,0.43963,0.88506,0.00993906,0.00993906,0.00993906
27,865.285,0.62182,0.97297,0.68623,0.92965,0.96823,0.97223,0.98945,0.90161,0.96539,0.96798,0.98422,0.80187,0.44355,0.72056,0.36954,0.85441,0.0099341,0.0099341,0.0099341
28,898.238,0.61488,0.97477,0.67502,0.93222,0.95107,0.96204,0.98318,0.89001,0.94243,0.96747,0.97759,0.79494,0.4504,0.69755,0.38762,0.86136,0.00992894,0.00992894,0.00992894
29,929.282,0.60795,0.94654,0.664,0.92447,0.94361,0.95535,0.97635,0.8919,0.94182,0.95451,0.9729,0.79465,0.45077,0.72842,0.39746,0.8595,0.00992359,0.00992359,0.00992359
30,961.377,0.59572,0.93383,0.65117,0.91795,0.93865,0.94944,0.97278,0.88226,0.93771,0.94801,0.96985,0.78127,0.4512,0.7347,0.4037,0.86382,0.00991805,0.00991805,0.00991805
31,992.335,0.60066,0.93545,0.64523,0.92113,0.94335,0.96994,0.98164,0.89543,0.93925,0.96516,0.97653,0.79595,0.45093,0.7028,0.38629,0.85544,0.00991232,0.00991232,0.00991232
32,1024.84,0.60255,0.93955,0.63398,0.92527,0.96177,0.97178,0.9845,0.90075,0.96072,0.97064,0.98225,0.81201,0.43657,0.6711,0.35675,0.8504,0.0099064,0.0099064,0.0099064
33,1056.31,0.58791,0.91171,0.61366,0.91361,0.96148,0.96372,0.98817,0.89878,0.96002,0.96232,0.98439,0.80695,0.43389,0.66374,0.35975,0.84885,0.00990028,0.00990028,0.00990028
34,1089.24,0.58965,0.9187,0.60741,0.91782,0.95155,0.96957,0.98515,0.90782,0.94997,0.96817,0.98287,0.81757,0.43582,0.67922,0.35435,0.85517,0.00989398,0.00989398,0.00989398
35,1121.38,0.59065,0.91676,0.62152,0.91762,0.97062,0.96763,0.9875,0.90909,0.96869,0.966,0.98319,0.81376,0.43275,0.66688,0.34898,0.84934,0.00988748,0.00988748,0.00988748
36,1153.85,0.58557,0.92008,0.60759,0.91493,0.94211,0.96627,0.98448,0.90842,0.93541,0.96076,0.97602,0.8093,0.40473,0.65376,0.35353,0.83941,0.00988079,0.00988079,0.00988079
37,1185.21,0.58091,0.90686,0.60466,0.91502,0.96072,0.96877,0.99073,0.9074,0.96072,0.96877,0.98872,0.81619,0.42083,0.64341,0.34972,0.84164,0.00987391,0.00987391,0.00987391
38,1218.67,0.5789,0.90541,0.60229,0.91368,0.95262,0.96857,0.98556,0.90764,0.94627,0.96106,0.97166,0.80904,0.42404,0.66602,0.34814,0.84994,0.00986684,0.00986684,0.00986684
39,1250.52,0.56679,0.88213,0.57156,0.9108,0.96341,0.97892,0.98808,0.91162,0.96341,0.97892,0.98791,0.81596,0.41284,0.64296,0.34306,0.84352,0.00985958,0.00985958,0.00985958
40,1281.81,0.57409,0.90848,0.58219,0.90938,0.9574,0.97477,0.98931,0.91041,0.95531,0.9723,0.98698,0.81268,0.41894,0.66245,0.34611,0.84399,0.00985213,0.00985213,0.00985213
41,1315.56,0.5628,0.88362,0.57523,0.91137,0.97344,0.9618,0.98845,0.90922,0.97126,0.96015,0.9853,0.82515,0.4189,0.6507,0.33046,0.84361,0.00984449,0.00984449,0.00984449
42,1348.4,0.56674,0.88536,0.57344,0.90717,0.96208,0.96795,0.98737,0.92001,0.95993,0.96938,0.98676,0.8303,0.39349,0.62242,0.31745,0.83418,0.00983666,0.00983666,0.00983666
43,1378.68,0.567,0.88801,0.56673,0.90571,0.97294,0.96255,0.99124,0.91679,0.97294,0.96255,0.98981,0.83018,0.40422,0.62629,0.32329,0.83607,0.00982864,0.00982864,0.00982864
44,1411.3,0.55757,0.8717,0.55558,0.90557,0.96094,0.98115,0.9895,0.91432,0.9596,0.97975,0.98557,0.82473,0.41669,0.64621,0.32336,0.84032,0.00982043,0.00982043,0.00982043
45,1443.45,0.55944,0.87608,0.5545,0.9037,0.97842,0.97782,0.99213,0.91742,0.96847,0.97991,0.98938,0.82893,0.40483,0.62883,0.31797,0.83855,0.00981204,0.00981204,0.00981204
46,1473.73,0.55666,0.87168,0.55193,0.90409,0.95827,0.9848,0.98656,0.91558,0.95667,0.9836,0.98446,0.82902,0.40749,0.62344,0.33049,0.83674,0.00980345,0.00980345,0.00980345
