timestamp,cam_x,cam_y,cam_z,cam_rx,cam_ry,cam_rz,cam_rw
1759132047.193728,-0.381395,-0.090365,0.491788,0.796641,0.584862,0.121442,-0.092478
1759132047.327154,-0.381400,-0.090362,0.491785,0.796638,0.584865,0.121446,-0.092476
1759132047.327154,-0.381400,-0.090362,0.491785,0.796638,0.584865,0.121446,-0.092476
1759132047.393867,-0.381429,-0.090372,0.491805,0.796635,0.584867,0.121466,-0.092464
1759132047.393867,-0.381429,-0.090372,0.491805,0.796635,0.584867,0.121466,-0.092464
1759132047.460580,-0.381699,-0.090617,0.491989,0.796474,0.585066,0.121635,-0.092369
1759132047.460580,-0.381699,-0.090617,0.491989,0.796474,0.585066,0.121635,-0.092369
1759132047.527293,-0.382199,-0.091156,0.492302,0.796118,0.585500,0.122035,-0.092160
1759132047.527293,-0.382199,-0.091156,0.492302,0.796118,0.585500,0.122035,-0.092160
1759132047.594006,-0.382944,-0.091947,0.492734,0.795598,0.586123,0.122698,-0.091808
1759132047.594006,-0.382944,-0.091947,0.492734,0.795598,0.586123,0.122698,-0.091808
1759132047.660718,-0.383947,-0.092980,0.493330,0.794938,0.586907,0.123547,-0.091374
1759132047.660718,-0.383947,-0.092980,0.493330,0.794938,0.586907,0.123547,-0.091374
1759132047.727430,-0.385212,-0.094277,0.494119,0.794120,0.587874,0.124581,-0.090870
1759132047.727430,-0.385212,-0.094277,0.494119,0.794120,0.587874,0.124581,-0.090870
1759132047.794142,-0.386732,-0.095886,0.495002,0.793080,0.589104,0.125864,-0.090217
1759132047.794142,-0.386732,-0.095886,0.495002,0.793080,0.589104,0.125864,-0.090217
1759132047.860853,-0.388503,-0.097776,0.496036,0.791881,0.590502,0.127364,-0.089498
1759132047.860853,-0.388503,-0.097776,0.496036,0.791881,0.590502,0.127364,-0.089498
1759132047.927565,-0.390532,-0.100000,0.497205,0.790468,0.592139,0.129091,-0.088692
1759132047.927565,-0.390532,-0.100000,0.497205,0.790468,0.592139,0.129091,-0.088692
1759132047.994276,-0.392818,-0.102495,0.498505,0.788912,0.593912,0.131040,-0.087834
1759132047.994276,-0.392818,-0.102495,0.498505,0.788912,0.593912,0.131040,-0.087834
1759132048.060987,-0.395314,-0.105337,0.499873,0.787139,0.595914,0.133252,-0.086845
1759132048.060987,-0.395314,-0.105337,0.499873,0.787139,0.595914,0.133252,-0.086845
1759132048.127699,-0.398049,-0.108544,0.501397,0.785165,0.598113,0.135666,-0.085856
1759132048.127699,-0.398049,-0.108544,0.501397,0.785165,0.598113,0.135666,-0.085856
1759132048.194410,-0.401049,-0.112104,0.502959,0.782978,0.600508,0.138372,-0.084792
1759132048.194410,-0.401049,-0.112104,0.502959,0.782978,0.600508,0.138372,-0.084792
1759132048.261121,-0.404230,-0.116043,0.504631,0.780610,0.603063,0.141269,-0.083705
1759132048.261121,-0.404230,-0.116043,0.504631,0.780610,0.603063,0.141269,-0.083705
1759132048.327832,-0.407556,-0.120306,0.506392,0.778095,0.605714,0.144363,-0.082692
1759132048.327832,-0.407556,-0.120306,0.506392,0.778095,0.605714,0.144363,-0.082692
1759132048.394544,-0.411208,-0.125098,0.508168,0.775271,0.608646,0.147830,-0.081555
1759132048.394544,-0.411208,-0.125098,0.508168,0.775271,0.608646,0.147830,-0.081555
1759132048.461255,-0.415042,-0.130416,0.510040,0.772163,0.611809,0.151577,-0.080490
1759132048.461255,-0.415042,-0.130416,0.510040,0.772163,0.611809,0.151577,-0.080490
1759132048.527966,-0.418981,-0.136011,0.511851,0.768950,0.615007,0.155466,-0.079449
1759132048.527966,-0.418981,-0.136011,0.511851,0.768950,0.615007,0.155466,-0.079449
1759132048.594676,-0.423035,-0.142124,0.513665,0.765522,0.618329,0.159668,-0.078436
1759132048.594676,-0.423035,-0.142124,0.513665,0.765522,0.618329,0.159668,-0.078436
1759132048.661387,-0.427382,-0.148978,0.515540,0.761674,0.621981,0.164264,-0.077523
1759132048.661387,-0.427382,-0.148978,0.515540,0.761674,0.621981,0.164264,-0.077523
1759132048.728106,-0.431834,-0.156403,0.517363,0.757546,0.625801,0.169167,-0.076679
1759132048.728106,-0.431834,-0.156403,0.517363,0.757546,0.625801,0.169167,-0.076679
1759132048.794823,-0.436312,-0.164295,0.519099,0.753279,0.629626,0.174271,-0.075970
1759132048.794823,-0.436312,-0.164295,0.519099,0.753279,0.629626,0.174271,-0.075970
1759132048.861542,-0.440888,-0.172812,0.520681,0.748695,0.633621,0.179737,-0.075334
1759132048.861542,-0.440888,-0.172812,0.520681,0.748695,0.633621,0.179737,-0.075334
1759132048.928260,-0.445426,-0.181993,0.522265,0.743798,0.637795,0.185390,-0.074914
1759132048.928260,-0.445426,-0.181993,0.522265,0.743798,0.637795,0.185390,-0.074914
1759132048.994978,-0.449869,-0.191644,0.523733,0.738788,0.641909,0.191199,-0.074747
1759132048.994978,-0.449869,-0.191644,0.523733,0.738788,0.641909,0.191199,-0.074747
1759132049.061696,-0.454131,-0.201526,0.524918,0.733657,0.645996,0.197113,-0.074722
1759132049.061696,-0.454131,-0.201526,0.524918,0.733657,0.645996,0.197113,-0.074722
1759132049.128414,-0.458136,-0.211734,0.525909,0.728373,0.650100,0.203060,-0.074892
1759132049.128414,-0.458136,-0.211734,0.525909,0.728373,0.650100,0.203060,-0.074892
1759132049.195132,-0.461835,-0.222135,0.526794,0.723145,0.654005,0.208954,-0.075344
1759132049.195132,-0.461835,-0.222135,0.526794,0.723145,0.654005,0.208954,-0.075344
1759132049.261851,-0.465335,-0.232843,0.527409,0.717731,0.657945,0.214953,-0.075936
1759132049.261851,-0.465335,-0.232843,0.527409,0.717731,0.657945,0.214953,-0.075936
1759132049.328569,-0.468557,-0.243807,0.527791,0.712223,0.661821,0.221008,-0.076723
1759132049.328569,-0.468557,-0.243807,0.527791,0.712223,0.661821,0.221008,-0.076723
1759132049.395287,-0.471447,-0.254980,0.528104,0.706712,0.665577,0.226960,-0.077814
1759132049.395287,-0.471447,-0.254980,0.528104,0.706712,0.665577,0.226960,-0.077814
1759132049.462006,-0.474068,-0.266329,0.528235,0.701095,0.669306,0.232894,-0.079088
1759132049.462006,-0.474068,-0.266329,0.528235,0.701095,0.669306,0.232894,-0.079088
1759132049.528724,-0.476396,-0.277959,0.528082,0.695392,0.672945,0.238940,-0.080514
1759132049.528724,-0.476396,-0.277959,0.528082,0.695392,0.672945,0.238940,-0.080514
1759132049.595443,-0.478372,-0.289827,0.527780,0.689603,0.676536,0.244930,-0.082194
1759132049.595443,-0.478372,-0.289827,0.527780,0.689603,0.676536,0.244930,-0.082194
1759132049.662161,-0.479996,-0.301835,0.527328,0.683735,0.680079,0.250865,-0.084063
1759132049.662161,-0.479996,-0.301835,0.527328,0.683735,0.680079,0.250865,-0.084063
1759132049.728879,-0.481316,-0.314027,0.526591,0.677825,0.683485,0.256882,-0.086100
1759132049.728879,-0.481316,-0.314027,0.526591,0.677825,0.683485,0.256882,-0.086100
1759132049.795597,-0.482245,-0.326432,0.525727,0.671800,0.686877,0.262802,-0.088428
1759132049.795597,-0.482245,-0.326432,0.525727,0.671800,0.686877,0.262802,-0.088428
1759132049.862315,-0.482813,-0.338956,0.524718,0.665718,0.690194,0.268673,-0.090924
1759132049.862315,-0.482813,-0.338956,0.524718,0.665718,0.690194,0.268673,-0.090924
1759132049.929034,-0.483002,-0.351626,0.523518,0.659613,0.693374,0.274533,-0.093672
1759132049.929034,-0.483002,-0.351626,0.523518,0.659613,0.693374,0.274533,-0.093672
1759132049.995752,-0.482839,-0.364374,0.522088,0.653422,0.696525,0.280305,-0.096551
1759132049.995752,-0.482839,-0.364374,0.522088,0.653422,0.696525,0.280305,-0.096551
1759132050.062470,-0.482269,-0.376793,0.520567,0.647345,0.699511,0.285867,-0.099539
1759132050.062470,-0.482269,-0.376793,0.520567,0.647345,0.699511,0.285867,-0.099539
1759132050.129189,-0.481376,-0.388717,0.518971,0.641566,0.702235,0.291092,-0.102594
1759132050.129189,-0.481376,-0.388717,0.518971,0.641566,0.702235,0.291092,-0.102594
1759132050.195907,-0.480252,-0.400186,0.517219,0.635924,0.704824,0.296094,-0.105597
1759132050.195907,-0.480252,-0.400186,0.517219,0.635924,0.704824,0.296094,-0.105597
1759132050.262625,-0.478853,-0.411086,0.515611,0.630594,0.707203,0.300680,-0.108657
1759132050.262625,-0.478853,-0.411086,0.515611,0.630594,0.707203,0.300680,-0.108657
1759132050.329344,-0.477256,-0.421555,0.513871,0.625453,0.709419,0.305047,-0.111716
1759132050.329344,-0.477256,-0.421555,0.513871,0.625453,0.709419,0.305047,-0.111716
1759132050.396063,-0.475529,-0.431393,0.512092,0.620568,0.711442,0.309204,-0.114626
1759132050.396063,-0.475529,-0.431393,0.512092,0.620568,0.711442,0.309204,-0.114626
1759132050.462781,-0.473651,-0.440773,0.510382,0.615885,0.713371,0.313006,-0.117536
1759132050.462781,-0.473651,-0.440773,0.510382,0.615885,0.713371,0.313006,-0.117536
1759132050.529500,-0.471752,-0.449520,0.508664,0.611523,0.715082,0.316580,-0.120309
1759132050.529500,-0.471752,-0.449520,0.508664,0.611523,0.715082,0.316580,-0.120309
1759132050.596219,-0.469733,-0.457766,0.507016,0.607395,0.716680,0.319845,-0.123048
1759132050.596219,-0.469733,-0.457766,0.507016,0.607395,0.716680,0.319845,-0.123048
1759132050.662937,-0.467749,-0.465396,0.505442,0.603555,0.718121,0.322876,-0.125598
1759132050.662937,-0.467749,-0.465396,0.505442,0.603555,0.718121,0.322876,-0.125598
1759132050.729653,-0.465775,-0.472534,0.503801,0.599896,0.719460,0.325753,-0.128014
1759132050.729653,-0.465775,-0.472534,0.503801,0.599896,0.719460,0.325753,-0.128014
1759132050.796368,-0.463805,-0.479047,0.502469,0.596592,0.720690,0.328174,-0.130332
1759132050.796368,-0.463805,-0.479047,0.502469,0.596592,0.720690,0.328174,-0.130332
1759132050.863083,-0.461983,-0.484957,0.501132,0.593578,0.721743,0.330471,-0.132439
1759132050.863083,-0.461983,-0.484957,0.501132,0.593578,0.721743,0.330471,-0.132439
1759132050.929798,-0.460256,-0.490360,0.499744,0.590779,0.722686,0.332632,-0.134394
1759132050.929798,-0.460256,-0.490360,0.499744,0.590779,0.722686,0.332632,-0.134394
1759132050.996513,-0.458565,-0.495169,0.498673,0.588300,0.723551,0.334402,-0.136207
1759132050.996513,-0.458565,-0.495169,0.498673,0.588300,0.723551,0.334402,-0.136207
1759132051.063229,-0.457111,-0.499343,0.497737,0.586173,0.724275,0.335918,-0.137785
1759132051.063229,-0.457111,-0.499343,0.497737,0.586173,0.724275,0.335918,-0.137785
1759132051.129944,-0.455814,-0.503005,0.496743,0.584234,0.724905,0.337370,-0.139159
1759132051.129944,-0.455814,-0.503005,0.496743,0.584234,0.724905,0.337370,-0.139159
1759132051.196659,-0.454695,-0.506085,0.495938,0.582632,0.725416,0.338559,-0.140316
1759132051.196659,-0.454695,-0.506085,0.495938,0.582632,0.725416,0.338559,-0.140316
1759132051.263374,-0.453732,-0.508615,0.495320,0.581300,0.725867,0.339480,-0.141283
1759132051.263374,-0.453732,-0.508615,0.495320,0.581300,0.725867,0.339480,-0.141283
1759132051.330090,-0.452946,-0.510556,0.494862,0.580284,0.726204,0.340177,-0.142046
1759132051.330090,-0.452946,-0.510556,0.494862,0.580284,0.726204,0.340177,-0.142046
1759132051.396805,-0.452430,-0.511899,0.494529,0.579579,0.726429,0.340676,-0.142581
1759132051.396805,-0.452430,-0.511899,0.494529,0.579579,0.726429,0.340676,-0.142581
1759132051.463520,-0.452109,-0.512708,0.494348,0.579152,0.726571,0.340957,-0.142917
1759132051.463520,-0.452109,-0.512708,0.494348,0.579152,0.726571,0.340957,-0.142917
1759132051.530235,-0.452066,-0.512870,0.494320,0.579076,0.726591,0.341015,-0.142990
1759132051.530235,-0.452066,-0.512870,0.494320,0.579076,0.726591,0.341015,-0.142990
1759132051.596951,-0.452054,-0.512856,0.494284,0.579081,0.726564,0.341064,-0.142984
1759132051.596951,-0.452054,-0.512856,0.494284,0.579081,0.726564,0.341064,-0.142984
1759132051.663666,-0.452059,-0.512866,0.494277,0.579074,0.726565,0.341070,-0.143000
1759132051.663666,-0.452059,-0.512866,0.494277,0.579074,0.726565,0.341070,-0.143000
1759132051.730381,-0.452051,-0.512876,0.494267,0.579070,0.726566,0.341073,-0.143001
1759132051.730381,-0.452051,-0.512876,0.494267,0.579070,0.726566,0.341073,-0.143001
1759132051.797096,-0.452058,-0.512872,0.494256,0.579069,0.726564,0.341085,-0.142986
1759132051.797096,-0.452058,-0.512872,0.494256,0.579069,0.726564,0.341085,-0.142986
1759132051.863811,-0.452052,-0.512897,0.494240,0.579048,0.726577,0.341091,-0.142993
1759132051.863811,-0.452052,-0.512897,0.494240,0.579048,0.726577,0.341091,-0.142993
1759132051.930525,-0.452056,-0.512916,0.494191,0.579028,0.726576,0.341126,-0.142995
1759132051.930525,-0.452056,-0.512916,0.494191,0.579028,0.726576,0.341126,-0.142995
1759132051.997241,-0.452047,-0.512921,0.494236,0.579036,0.726587,0.341083,-0.143007
1759132051.997241,-0.452047,-0.512921,0.494236,0.579036,0.726587,0.341083,-0.143007
1759132052.063955,-0.452059,-0.512915,0.494223,0.579044,0.726578,0.341094,-0.142996
1759132052.063955,-0.452059,-0.512915,0.494223,0.579044,0.726578,0.341094,-0.142996
1759132052.130670,-0.452050,-0.512921,0.494224,0.579037,0.726585,0.341093,-0.142991
1759132052.130670,-0.452050,-0.512921,0.494224,0.579037,0.726585,0.341093,-0.142991
1759132052.197385,-0.452051,-0.512920,0.494216,0.579042,0.726579,0.341096,-0.142995
1759132052.197385,-0.452051,-0.512920,0.494216,0.579042,0.726579,0.341096,-0.142995
1759132052.264100,-0.452048,-0.512922,0.494214,0.579030,0.726584,0.341103,-0.142999
1759132052.264100,-0.452048,-0.512922,0.494214,0.579030,0.726584,0.341103,-0.142999
1759132052.330815,-0.452054,-0.512915,0.494214,0.579037,0.726581,0.341103,-0.142988
1759132052.330815,-0.452054,-0.512915,0.494214,0.579037,0.726581,0.341103,-0.142988
1759132052.397530,-0.452054,-0.512919,0.494222,0.579038,0.726583,0.341094,-0.142995
1759132052.397530,-0.452054,-0.512919,0.494222,0.579038,0.726583,0.341094,-0.142995
1759132052.464245,-0.452051,-0.512929,0.494211,0.579042,0.726579,0.341094,-0.142997
1759132052.464245,-0.452051,-0.512929,0.494211,0.579042,0.726579,0.341094,-0.142997
1759132052.530960,-0.452042,-0.512922,0.494229,0.579034,0.726587,0.341090,-0.142999
1759132052.530960,-0.452042,-0.512922,0.494229,0.579034,0.726587,0.341090,-0.142999
1759132052.597675,-0.452055,-0.512907,0.494244,0.579046,0.726583,0.341080,-0.142996
1759132052.597675,-0.452055,-0.512907,0.494244,0.579046,0.726583,0.341080,-0.142996
1759132052.664390,-0.452187,-0.512455,0.494706,0.579289,0.726544,0.340839,-0.142784
1759132052.664390,-0.452187,-0.512455,0.494706,0.579289,0.726544,0.340839,-0.142784
1759132052.731104,-0.452483,-0.511307,0.495812,0.579875,0.726452,0.340293,-0.142172
1759132052.731104,-0.452483,-0.511307,0.495812,0.579875,0.726452,0.340293,-0.142172
1759132052.797820,-0.453029,-0.509407,0.497483,0.580787,0.726286,0.339517,-0.141147
1759132052.797820,-0.453029,-0.509407,0.497483,0.580787,0.726286,0.339517,-0.141147
1759132052.864534,-0.453796,-0.506777,0.499817,0.582069,0.726048,0.338404,-0.139761
